rank,city,state,pop2022,pop2020,growth,density,aland_sqmi
110,Frisco,TX,217213,200509,0.03999,3188,68.125
111,Des Moines,IA,216273,214133,0.00497,2453,88.18
112,Yonkers,NY,214687,211569,0.00731,11919,18.012
113,Port St. Lucie,FL,212901,204851,0.01927,1786,119.202
114,Moreno Valley,CA,211688,208634,0.00727,4130,51.257
115,Worcester,MA,211612,206518,0.01218,5664,37.36
116,Rochester,NY,211480,211328,0.00036,5913,35.766
117,Fontana,CA,210857,208393,0.00588,4895,43.072
118,Columbus,GA,210330,206922,0.00817,972,216.479
119,Fayetteville,NC,210089,208501,0.00379,1421,147.847
120,Sunrise Manor,NV,208868,205618,0.00784,6258,33.376
121,McKinney,TX,208146,195308,0.03182,3109,66.94
122,Little Rock,AR,204405,202591,0.00446,1703,119.992
123,Augusta,GA,203329,202081,0.00308,673,302.274
124,Oxnard,CA,202895,202063,0.00205,7648,26.528
125,Salt Lake City,UT,202379,199723,0.00661,1828,110.698
126,Amarillo,TX,202333,200393,0.00482,1989,101.744
127,Overland Park,KS,202012,197238,0.01196,2687,75.18
128,Cape Coral,FL,201958,194016,0.02006,1906,105.948
129,Grand Rapids,MI,201093,198917,0.00544,4493,44.756
130,Huntington Beach,CA,200455,198711,0.00437,7423,27.003
131,Sioux Falls,SD,200243,192517,0.01967,2560,78.229
132,Grand Prairie,TX,200240,196100,0.01045,2771,72.255
133,Montgomery,AL,199571,200603,-0.00258,1248,159.882
134,Tallahassee,FL,199127,196169,0.00748,1982,100.474
135,Birmingham,AL,198433,200733,-0.00576,1358,146.076
136,Peoria,AZ,198369,190985,0.01896,1127,175.989
137,Glendale,CA,197507,196543,0.00245,6482,30.471
138,Vancouver,WA,196739,190915,0.01502,4036,48.744
139,Providence,RI,193512,190934,0.00671,10514,18.406
140,Knoxville,TN,193114,190740,0.00618,1956,98.713
141,Brownsville,TX,189082,186738,0.00624,1429,132.322
142,Akron,OH,188741,190469,-0.00456,3048,61.933
143,Newport News,VA,187353,186247,0.00296,2716,68.992
144,Fort Lauderdale,FL,186208,182760,0.00934,5384,34.586
145,Mobile,AL,185427,187041,-0.00433,1330,139.465
146,Shreveport,LA,185249,187593,-0.00629,1725,107.361
147,Paradise,NV,184852,191238,-0.01698,3956,46.732
148,Tempe,AZ,184361,180587,0.01034,4612,39.977
149,Chattanooga,TN,183783,181099,0.00736,1286,142.963
150,Cary,NC,182619,174721,0.0221,3110,58.725
151,Eugene,OR,180748,176654,0.01145,4095,44.138
152,Elk Grove,CA,180746,176124,0.01295,4300,42.033
153,Santa Rosa,CA,180189,178127,0.00575,4238,42.519
154,Salem,OR,179715,175535,0.01177,3691,48.691
155,Ontario,CA,177533,175265,0.00643,3553,49.963
156,Aurora,IL,177070,180542,-0.00971,3934,45.009
157,Lancaster,CA,176892,173516,0.00963,1876,94.281
158,Rancho Cucamonga,CA,176289,174453,0.00523,4394,40.117
159,Oceanside,CA,175464,174068,0.00399,4253,41.256
160,Fort Collins,CO,174974,169810,0.01498,3060,57.182
161,Pembroke Pines,FL,174464,171178,0.00951,5340,32.673
162,Clarksville,TN,173480,166722,0.01986,1756,98.796
163,Palmdale,CA,172790,169450,0.00976,1629,106.076
164,Garden Grove,CA,172163,171949,0.00062,9588,17.957
165,Springfield,MO,171112,169176,0.00569,2077,82.392
166,Hayward,CA,166708,162954,0.01139,3661,45.537
167,Salinas,CA,166162,163542,0.00795,7092,23.428
168,Alexandria,VA,163367,159467,0.01208,10939,14.934
169,Paterson,NJ,162438,159732,0.0084,19308,8.413
170,Murfreesboro,TN,161571,152769,0.028,2618,61.709
171,Bayamon,PR,161242,165368,-0.01263,5977,26.978
172,Sunnyvale,CA,158949,155805,0.00999,7215,22.03
173,Kansas City,KS,158771,156607,0.00686,1272,124.815
174,Lakewood,CO,158584,155984,0.00827,3684,43.047
175,Killeen,TX,158129,153095,0.01617,2899,54.545
176,Corona,CA,158088,157136,0.00302,3954,39.986
177,Bellevue,WA,157752,151854,0.01905,4715,33.461
178,Springfield,MA,156503,155929,0.00184,4911,31.869
179,Charleston,SC,156255,150227,0.01967,1413,110.554
180,Macon,GA,156180,157346,-0.00371,626,249.398
181,Hollywood,FL,155527,153067,0.00797,5703,27.269
182,Roseville,CA,153569,147773,0.01923,3484,44.079
183,Pasadena,TX,152532,151950,0.00191,3500,43.586
184,Escondido,CA,152464,151038,0.0047,4086,37.314
185,Pomona,CA,152245,151713,0.00175,6625,22.982
186,Mesquite,TX,152164,150108,0.0068,3220,47.252
187,Naperville,IL,151078,149540,0.00512,3893,38.811
188,Joliet,IL,150948,150362,0.00194,2353,64.152
189,Savannah,GA,150078,147780,0.00772,1444,103.91
190,Jackson,MS,149739,153701,-0.01306,1348,111.086
191,Bridgeport,CT,149538,148654,0.00296,9309,16.064
192,Syracuse,NY,149310,148620,0.00232,5965,25.03
193,Surprise,AZ,148274,143148,0.01759,1372,108.063
194,Rockford,IL,147811,148655,-0.00285,2296,64.379
195,Torrance,CA,147393,147067,0.00111,7183,20.521
196,Thornton,CO,146487,141867,0.01602,4081,35.891
197,Kent,WA,145424,136588,0.03133,4309,33.75
198,Fullerton,CA,145309,143617,0.00586,6478,22.431
199,Denton,TX,145167,139869,0.01859,1508,96.236
200,Visalia,CA,144772,141384,0.01184,3817,37.924
