lat_dd,lat_degrees,lat_minutes,lat_seconds,lat_hemi,lon_dd,lon_degrees,lon_minutes,lon_seconds,lon_hemi,city,state
44.9397,44,56,23,N,-123.0297,123,1,47,W,Salem,OR
40.33,40,19,48,N,-75.93,75,55,48,W,Reading,PA
41.4097,41,24,35,N,-75.6697,75,40,11,W,Scranton,PA
40.99,40,59,24,N,-75.19,75,11,24,W,Stroudsburg,PA
39.9,39,54,0,N,-79.73,79,43,48,W,Uniontown,PA
41.8497,41,50,59,N,-79.1397,79,8,23,W,Warren,PA
41.25,41,15,0,N,-77,77,0,0,W,Williamsport,PA
50.4197,50,25,11,N,-104.65,104,39,0,W,Regina,SA
33.9197,33,55,11,N,-80.3497,80,20,59,W,Sumter,SC
43.54,43,32,24,N,-96.73,96,43,48,W,SiouxFalls,SD
44.9,44,54,0,N,-97.11,97,6,36,W,Watertown,SD
42.88,42,52,48,N,-97.3897,97,23,23,W,Yankton,SD
31.4597,31,27,35,N,-100.44,100,26,24,W,San Angelo,TX
29.42,29,25,12,N,-98.5,98,30,0,W,San Antonio,TX
33.6397,33,38,23,N,-96.61,96,36,36,W,Sherman,TX
33.43,33,25,48,N,-94.05,94,3,0,W,Texarkana,TX
32.3497,32,20,59,N,-95.3,95,18,0,W,Tyler,TX
28.8097,28,48,35,N,-97.01,97,0,36,W,Victoria,TX
31.5497,31,32,59,N,-97.1397,97,8,23,W,Waco,TX
33.9,33,54,0,N,-98.4897,98,29,23,W,Wichita Falls,TX
38.77,38,46,12,N,-112.0897,112,5,23,W,Richfield,UT
40.7597,40,45,35,N,-111.8797,111,52,47,W,Salt Lake City,UT
37.54,37,32,24,N,-77.4497,77,26,59,W,Richmond,VA
37.27,37,16,12,N,-79.94,79,56,24,W,Roanoke,VA
38.15,38,9,0,N,-79.0697,79,4,11,W,Staunton,VA
39.1897,39,11,23,N,-78.16,78,9,36,W,Winchester,VA
43.61,43,36,36,N,-72.97,72,58,12,W,Rutland,VT
44.4197,44,25,11,N,-72.0197,72,1,11,W,Saint Johnsbury,VT
47.5997,47,35,59,N,-122.33,122,19,48,W,Seattle,WA
47.6697,47,40,11,N,-117.41,117,24,36,W,Spokane,WA
47.24,47,14,24,N,-122.43,122,25,48,W,Tacoma,WA
46.0697,46,4,11,N,-118.33,118,19,48,W,Walla Walla,WA
47.4197,47,25,11,N,-120.3197,120,19,11,W,Wenatchee,WA
46.5997,46,35,59,N,-120.51,120,30,36,W,Yakima,WA
45.6397,45,38,23,N,-89.4197,89,25,11,W,Rhinelander,WI
44.52,44,31,12,N,-89.5697,89,34,11,W,Stevens Point,WI
44.9597,44,57,35,N,-89.6397,89,38,23,W,Wausau,WI
43.63,43,37,48,N,-89.7697,89,46,11,W,Wisconsin Dells,WI
40.0697,40,4,11,N,-80.72,80,43,12,W,Wheeling,WV
37.68,37,40,48,N,-82.2797,82,16,47,W,Williamson,WV
41.59,41,35,24,N,-109.23,109,13,48,W,Rock Springs,WY
44.7997,44,47,59,N,-106.9597,106,57,35,W,Sheridan,WY
